ITEM,COMMENT,SPACE,POS_NEG,CR,ID,PRINT,RATE1,RATE2,RATE3,RATE4,FREQUENCY,FREQ_2,FREQ_3,FREQ_4,FREQ_5,FREQ_6
"Radiation, Photon, Creates Overabundance",,,,,1,0,-9.52500000e+01,3.77999992e+01,,,,,,,,
"Negative, Alien Entity Possession",,,,,2,0,-6.00000000e+01,-5.00000000e+01,,,,,,,,
"Planetary, Unknown RRR",,,,,3,0,-1.75000000e+01,4.55000000e+01,,,,,,,,
"Planetary, Unknown TTT",,,,,4,0,-1.70000000e+01,8.30000000e+01,,,,,,,,
"Planetary, Jupiter","Check Influence when There is Unusual growths",,,,5,0,-9.75000000e+00,-8.82500000e+01,,,1.83600006e+02,,,,,
"Planetary, Earth","Center Of The Zodiac, Color Orange-Red, Helps Deepen Our Connect With The Earth",,,,6,0,-9.50000000e+00,-8.55000000e+01,,,1.94199997e+02,1.94699997e+02,,,,
"Planetary, Unknown AAA",,,,,8,0,-3.75000000e+00,7.65000000e+01,,,,,,,,
"Volcano, Active, Southern Hemisphere",,,,,9,0,-3.25000000e+00,4.42999992e+01,,,,,,,,
"Planetary, Satellite 2",,,,,10,0,0.00000000e+00,-1.45000000e+01,,,,,,,,
"Delawarr, Large Intestine, Mesentery",,,,,11,0,0.00000000e+00,5.00000000e-01,,,1.00000000e+01,8.80000000e+02,,,,
"Dental, Teeth, Gums",,,,,12,0,0.00000000e+00,2.00000000e+00,,,,,,,,
"Delawarr, Central Nervous System, Fore Brain, Hypothalamus, Cowpers Glands","Should Equal G V, Check 22.00-0.00, 77.00-0.00, Balance Higher With Care",,"+",,13,0,0.00000000e+00,2.00000000e+00,,,,,,,,
"Delawarr, Respiratory System, Paranasal Sinuses, Frontal",,,"+",,14,0,0.00000000e+00,3.00000000e+00,,,,,,,,
"Bladder, Gall, Cysts Ducts",,,,,15,0,0.00000000e+00,4.00000000e+00,,,,,,,,
"Delawarr, Central Nervous System, Hind Brain, Cerebellum, Fourth Ventricle","With Depression Check Need To Decrease Enkephalins",,"+",,17,0,0.00000000e+00,4.50000000e+00,,,,,,,,
"Delawarr, Central Nervous System, Brain Areas, Association Area, Frontal","Note Eb#, With Depression Check Need to Increase Enkephalins, Melatonin, Noradrenaline, Serotonin Or Decrease Dopamine",,"+",,18,0,0.00000000e+00,5.00000000e+00,,,3.15799988e+02,,,,,
"Reproductive, Perineum, Area Between The Anus & The Vulva Or Scrotum","Should Equal G V",,,,19,0,0.00000000e+00,5.00000000e+00,,,,,,,,
"Body, Pacchionian","Balance 55-6 To Help Clear Infections, Enlarged Villi, Small Pedunculated/ Rounded Growths of Fibrous Tissue Along Longitudinal Fissure of Cerebrum Growing On Arachnoid Membrane",,,,20,0,0.00000000e+00,6.00000000e+00,,,,,,,,
"Delawarr, Large Intestine, Ascending Colon, Organ","Note F#",,"+",,21,0,0.00000000e+00,8.00000000e+00,,,1.76000000e+02,2.00000000e+01,,,,
"Skeletal, Disorder, Fingers, Mashed, Crushed",,,,,23,0,0.00000000e+00,9.50000000e+00,,,,,,,,
"Delawarr, Central Nervous System, Hind Brain, Pons, Mid, Medulla","Should Equal G V, With Depression Check Need To Decrease enkephalins",,"+",,24,0,0.00000000e+00,1.00000000e+01,,,,,,,,
"Eyes, Anterior Chamber",,,,,25,0,0.00000000e+00,1.05000000e+01,,,2.00000000e+01,,,,,
"Skeletal, Spinal, Cord, Nerves",,,,,27,0,0.00000000e+00,1.10000000e+01,,,5.00000000e+01,,,,,
"Eyes, Lens, Nerves, Retina, Rod Portion","Brain, Visual Center",,,,28,0,0.00000000e+00,1.15000000e+01,,,2.00000000e+01,,,,,
"Delawarr, Urinary System, Bladder, Organ","Note F#, Balance 3.00-82.00",,"+",,30,0,0.00000000e+00,1.30000000e+01,,,3.52000000e+02,,,,,
"Eyes, Occipital Cortex",,,,,31,0,0.00000000e+00,1.35000000e+01,,,2.00000000e+01,,,,,
"Delawarr, Ductless Glands, Thyroid Gland",,,"+",,33,0,0.00000000e+00,1.45000000e+01,,,2.00000000e+01,1.60000000e+02,,,,
"Delawarr, Central Nervous System, Hind Brain, Pons Varolii, Fore, Medulla","With Depression Check Need To Decrease enkephalins",,"+",,34,0,0.00000000e+00,1.50000000e+01,,,,,,,,
"Diseases, Bacterial, Gram-Negative, Whooping Cough, Pertussis","Balance Acid/Alkaline & Sodium/Chloride",,"-",,35,0,0.00000000e+00,1.60000000e+01,,,5.26000000e+02,7.65000000e+02,,,,
"Delawarr, Mouth, Nose & Throat, Pharynx, Epiglottis, Thin Triangular Lidlike Piece of Cartilage","that Folds Back Over the Opening of the Windpipe During Swallowing to Prevent Foreign Matter to Enter the Lungs",,"+",,37,0,0.00000000e+00,1.65000000e+01,,,,,,,,
"Delawarr, Lymphatic System, Lymph Glands",,,"+",,38,0,0.00000000e+00,1.70000000e+01,,,1.00000000e+01,8.80000000e+02,,,,
"Skeletal, Body, Arm",,,,,39,0,0.00000000e+00,1.75000000e+01,,,,,,,,
"Delawarr, Eyes, Eyeball","Balance 9.50-10.50, Often Used for Dreaming",,"+",,40,0,0.00000000e+00,1.80000000e+01,,,2.00000000e+01,,,,,
"Ear, Outer Passages",,,,,42,0,0.00000000e+00,2.05000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Delawarr, Skeletal System, Bone, Bone Marrow, Organ","Note Ab#, See Reticulo-Endothelial System",,"+",,43,0,0.00000000e+00,2.10000000e+01,,,4.18299988e+02,,,,,
"Gynecologic, Obstetric, Pediatric, Genetic Disorders, Common Problems, Gynecologic,","Leukorrhea, Female Discharge",,"-",,44,0,0.00000000e+00,2.15000000e+01,,,,,,,,
"Brain, Hind, Pons Varolii","With Depression Check Need To Decrease enkephalins",,,,45,0,0.00000000e+00,2.20000000e+01,,,2.00000000e+01,2.00000000e+03,,,,
"Delawarr, Eyes, Eyeball, Fibrous Coat, Sclera, Retina, Optic Chiasma",,,"+",,47,0,0.00000000e+00,2.25000000e+01,,,2.00000000e+01,,,,,
"Tissue, Subcutaneous",,,,,48,0,0.00000000e+00,2.25000000e+01,,,,,,,,
"Reproductive, Tubes, Fallopian, Tube That Carry Ova from Ovaries to Uterus, Organ",,,"+",,49,0,0.00000000e+00,2.30000000e+01,,,1.00000000e+00,8.80000000e+02,,,,
"Delawarr, Urinary System, Kidneys, Organ","Note Eb#, E#,  Balance for Arsenic, D D T, Earache, Edema, Flu, Meningococcus, Migraines, Nausea, Poisons, Polio, Scar Tissue, Sniffles",,"+",,50,0,0.00000000e+00,2.30000000e+01,,,3.19880005e+02,3.30000000e+02,8.00000000e+00,8.80000000e+02,,
"Delawarr, Gall Bladder & Biliary Ducts, Biliary Ducts, Bile Duct",,,"+",,52,0,0.00000000e+00,2.35000000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Body-Nose",,,"+",,53,0,0.00000000e+00,2.35000000e+01,,,,,,,,
"Skeletal, Body, Head, Skull, Mastoid","Refers to the Mastoid Process of the Temporal Bone",,,,54,0,0.00000000e+00,2.40000000e+01,,,,,,,,
"Ear, Middle Ear",,,,,55,0,0.00000000e+00,2.45000000e+01,,,2.00000000e+01,8.80000000e+02,,,,
"Dental, Gums",,,,,57,0,0.00000000e+00,2.55000000e+01,,,,,,,,
"Delawarr, Breast, Mammary Glands","Amino Acid Carnitine should be high in Human Breast Milk",,"+",,58,0,0.00000000e+00,2.60000000e+01,,,,,,,,
"Delawarr, Female Genital System, Uterus, Cervix Of Uterus, Neck of",,,"+",,60,0,0.00000000e+00,2.60000000e+01,,,,,,,,
"Urinary, Bladder, Organ","Balance 3.00-82.00",,,,61,0,0.00000000e+00,2.60000000e+01,,,,,,,,
"Delawarr, Mouth, Nose & Throat, Pharynx, Nerves, Glossopharyngeal Branch",,,"+",,62,0,0.00000000e+00,2.65000000e+01,,,,,,,,
"Delawarr, Central Nervous System, Ductless Glands, Pineal Body","With Depression Check Need to Increase Melatonin, Noradrenaline, Serotonin Or Decrease Dopamine, Will Be Low for Nervous Conditions",,"+",,63,0,0.00000000e+00,2.70000000e+01,,,2.00000000e+01,5.00000000e+03,,,,
"Nerves, Brachial Plexus","Network of Lower Cervical & Upper Dorsal Spinal Nerves Supplying the arm, Forearm & hand",,,,64,0,0.00000000e+00,2.75000000e+01,,,,,,,,
"Delawarr, Eyes, Eyeball, Iris",,,"+",,65,0,0.00000000e+00,2.75000000e+01,,,2.00000000e+01,,,,,
"Nerves, Vagus (In Hiccoughs)","Balance 22.00-27.50 For 15 Minutes",,,,66,0,0.00000000e+00,2.75000000e+01,,,,,,,,
"Delawarr, Eyes, Eyeball, Iris",,,"+",,67,0,0.00000000e+00,2.80000000e+01,,,2.00000000e+01,,,,,
"Glands, Pineal","Balance 68.00-41.00, Check 22.00-XX, 77.00-XX, 55.00-XX, Pineal, thymus, Thyroid, Pituitaries, Hypothalamus, Adrenals",,,,68,0,0.00000000e+00,2.80000000e+01,,,2.00000000e+01,5.00000000e+03,,,,
